Field=#~Integer~#~50|Field=Comment~String~Comment~113|Field=Description~String~Description~113|Field=Designator~String~Designator~113|Field=Footprint~String~Footprint~113|Field=LibRef~String~LibRef~113|Field=Quantity~Integer~Quantity~113|Field=Value~String~Value~109|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~VoIP.PrjPcb|ReportField=ProjectFullPath~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\VoIP.PrjPcb|ReportField=Title~Bill of Materials For Project [VoIP.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~229|ReportField=ReportTime~8:37:43 AM|ReportField=ReportDate~12/1/2017|ReportField=ReportDateTime~12/1/2017 8:37:43 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Will Werst|ReportField=CheckedBy~|ReportField=CompanyName~Caltech EE/CS 52|ReportField=CurrentDate~12/1/2017|ReportField=CurrentTime~8:37:28 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\Main.SchDoc|ReportField=DocumentName~Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12/1/2017|ReportField=Organization~|ReportField=ProjectName~VoIP.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Main|ReportField=DataSourceFileName~VoIP.PrjPcb|ReportField=DataSourceFullPath~C:\Users\will\Documents\GitHub\EE52\Altium\VoIP\VoIP.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
31|Res3|Resistor|R16, R17, R18, R19, R20, R27, R28, R29, R30, R34, R35, R36, R37, R38, R39, R59, R63, R64|J1-0603|Res3|18|2.2k
32|Res3|Resistor|R21, R22|J1-0603|Res3|2|220
33|Res3|Resistor|R23|J1-0603|Res3|1|1.5K
34|Res3|Resistor|R24, R33|J1-0603|Res3|2|2K
35|Res3|Resistor|R25, R31|J1-0603|Res3|2|510K
36|Res3|Resistor|R26, R32|J1-0603|Res3|2|34K
37|Res3|Resistor|R40|J1-0603|Res3|1|4.87K
38|Res3|Resistor|R41, R42, R43, R44|J1-0603|Res3|4|49.9
39|Res3|Resistor|R47, R49, R51, R53|J1-0603|Res3|4|120
40|Res3|Resistor|R48|J1-0603|Res3|1|52.3
41|Res3|Resistor|R50|J1-0603|Res3|1|365
42|Res3|Resistor|R52|J1-0603|Res3|1|196
43|Res3|Resistor|R54|J1-0603|Res3|1|169
44|Res3|Resistor|R55, R56, R57|J1-0603|Res3|3|0
45|1W|MCR100JZHJ2R2|R58, R60, R61, R62|RESC6332|Res3|4|2.2
46|Res3|Resistor|R65, R67, R68|J1-0603|Res3|3|1k
47|Res3|Resistor|R66|J1-0603|Res3|1|100k
48|Res3|Resistor|R69|J1-0603|Res3|1|330
49|Res3|Resistor|R70|J1-0603|Res3|1|150
50|LM1086-ADJ|1.5A Low Dropout Positive Regulator|REG_1V8, REG_3V, REG_3V3, REG_5V|TO-220V|LM1086|4|
51|KS01Q01||SW_HANGUP, SW_RESET|KS01Q01|KS01Q01|2|
52|AT91RM9200|Atmel ARM|U1|PQFP208|AT91RM9200|1|
53|74LVT16245|16-Bit Bus Transceiver|U2, U4, U8, U18, U19, U21|TSSOP48|74LVT16245|6|
54|MAX705|Maxim uP Supervisory Circuit|U3|DIPS8|MAX705|1|
55|ISPLSI1016E|In-System Programmable High Density CPLD|U5|PLCCS44|ISPLSI1016E|1|
56|SRAM IDT71V016|64K x 16 3.3V Static CMOS RAM|U6|SSOP44.400|IDT71V016|1|
57|ROM 29LV040|4 Megabit (512K x 8) CMOS Uniform Sector Flash Memory|U7|PLCCS32|29LV040|1|
58|TI-CD40109B-16||U9, U11|TI-PW16_M|TI-CD40109B-16|2|
59|MM74C923|20-Key Encoder|U13|DIPS20|MM74C923|1|
60|24AA32|I2C Serial EEPROM|U15|DIPS8|24AA32|1|
61|DP83848|PHYTER - Single Port 10/100 Mb/s Ethernet Physical Layer Transceiver|U16|LQFP48|DP83848|1|
62|TLV320AIC1106|PCM Codec|U17|PSOP20|TLV320AIC1106|1|
63|DRAM1MX8|1M x 8 DRAM SIMM|U20|SIMM30|DRAM1MX8|1|
64|20 MHz|Crystal|X1|HC-49U|CRYSTAL|1|
65|32.768 kHz|Crystal|X2|FX-3|CRYSTAL|1|
66|25 MHz|Crystal|X3|HC-49U|CRYSTAL|1|
